ChEBI	MolecularFormula	MolecularWeight	XLogP	ExactMass	MonoisotopicMass	TPSA	Complexity	Charge	HBondDonorCount	HBondAcceptorCount	RotatableBondCount	HeavyAtomCount	IsotopeAtomCount	AtomStereoCount	DefinedAtomStereoCount	UndefinedAtomStereoCount	BondStereoCount
38660	C17H20N2O3	300.35	4.2	N/A	N/A	59.6	343	N/A	2	4	6	22	N/A	N/A	N/A	N/A	N/A
38699	C2H2FNaO2	100.02	N/A	N/A	N/A	40.1	46	N/A	0	3	1	6	N/A	N/A	N/A	N/A	N/A
32687	C19H30O5	338.4	3.7	N/A	N/A	46.2	312	N/A	0	5	13	24	N/A	N/A	N/A	N/A	N/A
38737	C12H27OPS3	314.5	3.2	N/A	N/A	93	179	N/A	0	4	12	17	N/A	N/A	N/A	N/A	N/A
38798	C23H22F7IN2O4S	682.4	5.3	N/A	N/A	101	968	N/A	2	11	7	38	N/A	N/A	N/A	N/A	N/A
38840	C16H20F13N2O4P	582.29	4	N/A	N/A	51.2	777	N/A	0	19	10	36	N/A	N/A	N/A	N/A	N/A
38790	C27H38F17N2O4P	808.5	9.6	N/A	N/A	51.2	1110	N/A	0	23	21	51	N/A	N/A	N/A	N/A	N/A
38827	C25H38F13N2O4P	708.5	8.3	N/A	N/A	51.2	922	N/A	0	19	19	45	N/A	N/A	N/A	N/A	N/A
38841	C18H20F17N2O4P	682.3	5.3	N/A	N/A	51.2	960	N/A	0	23	12	42	N/A	N/A	N/A	N/A	N/A
4445	C3H2F6O	168.04	2.6	N/A	N/A	9.2	97	N/A	0	7	2	10	N/A	N/A	N/A	N/A	N/A
5615	C2HBrClF3	197.38	2.3	N/A	N/A	0	60	N/A	0	3	0	7	N/A	N/A	N/A	N/A	N/A
30365	C3H6	42.08	1.6	N/A	N/A	0	4	N/A	0	0	0	3	N/A	N/A	N/A	N/A	N/A
8357	C17H27NO3	293.4	3.1	N/A	N/A	30.9	248	N/A	0	4	9	21	N/A	N/A	N/A	N/A	N/A
38904	CKNO	81.115	N/A	N/A	N/A	46.8	34	N/A	0	2	0	4	N/A	N/A	N/A	N/A	N/A
38912	C25H23N5O2S	457.5	3	N/A	N/A	131	845	N/A	3	4	7	33	N/A	N/A	N/A	N/A	N/A
38927	C24H23ClFN5O2	467.9	4.5	N/A	N/A	90.3	729	N/A	2	7	8	33	N/A	N/A	N/A	N/A	N/A
49791	C21H16Cl2N4OS	443.3	5.4	N/A	N/A	83.4	626	N/A	1	5	4	29	N/A	N/A	N/A	N/A	N/A
49840	C20H25ClN6O3	432.9	3.8	N/A	N/A	125	583	N/A	4	8	8	30	N/A	N/A	N/A	N/A	N/A
38937	C19H26ClN7O	403.9	3.6	N/A	N/A	114	497	N/A	4	7	7	28	N/A	N/A	N/A	N/A	N/A
2761	C8H10K2O15Sb2	667.87	N/A	N/A	N/A	256	123	N/A	3	15	2	27	N/A	N/A	N/A	N/A	N/A
31224	C8H4Na2O12Sb2	581.61	N/A	N/A	N/A	253	123	N/A	0	12	2	24	N/A	N/A	N/A	N/A	N/A
38939	C4H4NaO4S2Sb	325.0	N/A	N/A	N/A	82.3	37	N/A	0	6	0	12	N/A	N/A	N/A	N/A	N/A
38944	C13H9N3O2S	271.30	5.2	N/A	N/A	102	349	N/A	1	5	3	19	N/A	N/A	N/A	N/A	N/A
38946	C18H21N5O2S	371.5	2.9	N/A	N/A	108	477	N/A	2	5	3	26	N/A	N/A	N/A	N/A	N/A
38947	H4O5P2S2	210.11	0.3	N/A	N/A	154	153	N/A	4	7	2	9	N/A	N/A	N/A	N/A	N/A
28411	C6H10OS2	162.3	1.3	N/A	N/A	61.6	120	N/A	0	3	5	9	N/A	N/A	N/A	N/A	N/A
38951	C13H23N2O3PS	318.37	4.2	N/A	N/A	85.6	339	N/A	0	6	7	20	N/A	N/A	N/A	N/A	N/A
45116	C19H18FN3O4	371.4	2.2	N/A	N/A	111	490	N/A	3	7	7	27	N/A	N/A	N/A	N/A	N/A
39042	C16H21F13	460.32	9.7	N/A	N/A	0	494	N/A	0	13	13	29	N/A	N/A	N/A	N/A	N/A
39044	C18H23F13	486.4	10.3	N/A	N/A	0	561	N/A	0	13	14	31	N/A	N/A	N/A	N/A	N/A
