	ChEBI	MolecularFormula	MolecularWeight	XLogP	ExactMass	MonoisotopicMass	TPSA	Complexity	Charge	HBondDonorCount	HBondAcceptorCount	RotatableBondCount	HeavyAtomCount	IsotopeAtomCount	AtomStereoCount	DefinedAtomStereoCount	UndefinedAtomStereoCount	BondStereoCount	RoleType	RoleName
289	61089																		application	antineoplastic agent
290	61682																		application	antineoplastic agent
291	62855																		application	antineoplastic agent
292	63859																		application	antineoplastic agent
293	29655																		application	antineoplastic agent
294	64534																		application	antineoplastic agent
295	36373																		application	antineoplastic agent
296	66913																		application	antineoplastic agent
297	67106																		application	antineoplastic agent
298	66403																		application	antineoplastic agent
299	71417																		application	antineoplastic agent
300	71428																		application	antineoplastic agent
301	65639																		application	antineoplastic agent
302	72312																		application	antineoplastic agent
303	72457																		application	antineoplastic agent
304	6995																		application	antineoplastic agent
305	73290																		application	antineoplastic agent
306	74422																		application	antineoplastic agent
307	74654																		application	antineoplastic agent
308	10041																		application	antineoplastic agent
309	66328																		application	antineoplastic agent
310	66329																		application	antineoplastic agent
311	66327																		application	antineoplastic agent
312	66326																		application	antineoplastic agent
313	74774																		application	antineoplastic agent
314	74775																		application	antineoplastic agent
315	7576																		application	antineoplastic agent
316	75418																		application	antineoplastic agent
317	75441																		application	antineoplastic agent
318	75487																		application	antineoplastic agent
319	75934																		application	antineoplastic agent
320	69107																		application	antineoplastic agent
321	16002																		application	antineoplastic agent
322	77556																		application	antineoplastic agent
323	82669																		application	antineoplastic agent
324	83152																		application	antineoplastic agent
325	83153																		application	antineoplastic agent
326	66101																		application	antineoplastic agent
327	83432																		application	antineoplastic agent
328	85609																		application	antineoplastic agent
329	85611																		application	antineoplastic agent
330	85612																		application	antineoplastic agent
331	88290																		application	antineoplastic agent
332	88297																		application	antineoplastic agent
333	88337																		application	antineoplastic agent
334	90241																		application	antineoplastic agent
335	90282																		application	antineoplastic agent
336	132781																		application	antineoplastic agent
337	40235																		application	antineoplastic agent
338	133537																		application	antineoplastic agent
339	138974																		application	antineoplastic agent
340	44597																		application	antineoplastic agent
341	2038																		application	antineoplastic agent
342	141077																		application	antineoplastic agent
343	143014																		application	antineoplastic agent
344	143658																		application	antineoplastic agent
345	145024																		application	antineoplastic agent
346	145105																		application	antineoplastic agent
347	177369																		application	antineoplastic agent
348	178199																		application	antineoplastic agent
349	36412																		biological role	metabolite
350	59361																		biological role	metabolite
351	59610																		biological role	metabolite
352	59685																		biological role	metabolite
353	37252																		biological role	metabolite
354	59833																		biological role	metabolite
355	59873																		biological role	metabolite
356	59875																		biological role	metabolite
357	59878																		biological role	metabolite
358	38649																		biological role	metabolite
359	60872																		biological role	metabolite
360	9062																		biological role	metabolite
361	27509																		biological role	metabolite
362	3163																		biological role	metabolite
363	3703																		biological role	metabolite
364	15504																		biological role	metabolite
365	62193																		biological role	metabolite
366	28205																		biological role	metabolite
367	62207																		biological role	metabolite
368	62208																		biological role	metabolite
369	19891																		biological role	metabolite
370	16159																		biological role	metabolite
371	7207																		biological role	metabolite
372	27405																		biological role	metabolite
373	3648																		biological role	metabolite
374	17789																		biological role	metabolite
375	62751																		biological role	metabolite
376	62752																		biological role	metabolite
377	10225																		biological role	metabolite
378	62845																		biological role	metabolite
379	62851																		biological role	metabolite
380	48022																		biological role	metabolite
381	18227																		biological role	metabolite
382	27675																		biological role	metabolite
383	63190																		biological role	metabolite
384	63203																		biological role	metabolite
385	63496																		biological role	metabolite
386	63596																		biological role	metabolite
387	63664																		biological role	metabolite
388	63665																		biological role	metabolite
389	63712																		biological role	metabolite
390	63709																		biological role	metabolite
391	63749																		biological role	metabolite
392	63711																		biological role	metabolite
393	63799																		biological role	metabolite
394	63800																		biological role	metabolite
395	63804																		biological role	metabolite
396	63708																		biological role	metabolite
397	63860																		biological role	metabolite
